,Problem
0,Text Justification
1,Word Search
2,Word Break
3,Implement Trie (Prefix Tree)
4,Word Search II
5,Sliding Window Maximum
6,Reconstruct Itinerary
7,Flatten Nested List Iterator
8,Design Hit Counter
9,Insert Delete GetRandom O(1)
10,Minimum Moves to Equal Array Elements
11,Design Log Storage System
12,Accounts Merge
13,Reaching Points
14,Design HashMap
15,Random Pick with Weight
16,Minimum Number of Taps to Open to Water a Garden
17,Tweet Counts Per Frequency
18,Finding the Users Active Minutes
19,Product of Two Run-Length Encoded Arrays
