,Problem
0,Group Anagrams
1,Merge Intervals
2,Binary Tree Zigzag Level Order Traversal
3,LRU Cache
4,One Edit Distance
5,Number of Islands
6,Summary Ranges
7,Move Zeroes
8,Flatten Nested List Iterator
9,Line Reflection
10,Find All Anagrams in a String
11,String Compression
12,Reverse Words in a String III
13,Subarray Sum Equals K
14,Permutation in String
15,Maximize Distance to Closest Person
16,Squares of a Sorted Array
17,Interval List Intersections
18,Longest Subarray of 1's After Deleting One Element
