,Title,Topic Label,Accetpance,Difficulty,Frequency
0,129. Sum Root to Leaf Numbers,"['Tree', 'Depth-First Search', 'Binary Tree']",59.8%,Medium,2.53041%;
1,1. Two Sum,"['Array', 'Hash Table']",49.6%,Easy,99.5389%;
2,2. Add Two Numbers,"['Linked List', 'Math', 'Recursion']",40.3%,Medium,94.7021%;
3,3. Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",33.8%,Medium,95.0445%;
4,4. Median of Two Sorted Arrays,"['Array', 'Binary Search', 'Divide and Conquer']",36.0%,Hard,93.6308%;
5,5. Longest Palindromic Substring,"['String', 'Dynamic Programming']",32.4%,Medium,96.3111%;
6,6. Zigzag Conversion,['String'],44.8%,Medium,86.8534%;
7,7. Reverse Integer,['Math'],27.4%,Medium,90.7213%;
8,8. String to Integer (atoi),['String'],16.6%,Medium,60.2364%;
9,9. Palindrome Number,['Math'],53.5%,Easy,94.1472%;
10,10. Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",28.0%,Hard,71.9822%;
11,11. Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",54.0%,Medium,88.991%;
12,12. Integer to Roman,"['Hash Table', 'Math', 'String']",61.9%,Medium,83.2202%;
13,13. Roman to Integer,"['Hash Table', 'Math', 'String']",58.4%,Easy,100%;
14,14. Longest Common Prefix,"['String', 'Trie']",40.8%,Easy,94.241%;
15,15. 3Sum,"['Array', 'Two Pointers', 'Sorting']",32.5%,Medium,92.3665%;
16,16. 3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",45.8%,Medium,72.3137%;
17,17. Letter Combinations of a Phone Number,"['Hash Table', 'String', 'Backtracking']",56.4%,Medium,85.7048%;
18,18. 4Sum,"['Array', 'Two Pointers', 'Sorting']",36.0%,Medium,79.4149%;
19,19. Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",40.9%,Medium,64.7831%;
20,20. Valid Parentheses,"['String', 'Stack']",40.3%,Easy,97.6944%;
21,21. Merge Two Sorted Lists,"['Linked List', 'Recursion']",62.4%,Easy,83.2098%;
22,22. Generate Parentheses,"['String', 'Dynamic Programming', 'Backtracking']",72.4%,Medium,89.4521%;
23,23. Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', '2+']",49.7%,Hard,32.4518%;
24,24. Swap Nodes in Pairs,"['Linked List', 'Recursion']",61.2%,Medium,46.9132%;
25,25. Reverse Nodes in k-Group,"['Linked List', 'Recursion']",54.5%,Hard,72.7424%;
26,26. Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",51.4%,Easy,80.3683%;
27,27. Remove Element,"['Array', 'Two Pointers']",52.9%,Easy,54.3717%;
28,28. Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",38.9%,Easy,50.9579%;
29,29. Divide Two Integers,"['Math', 'Bit Manipulation']",17.2%,Medium,53.872%;
30,30. Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",31.2%,Hard,42.8781%;
31,31. Next Permutation,"['Array', 'Two Pointers']",37.5%,Medium,88.852%;
32,32. Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",32.8%,Hard,67.8675%;
33,33. Search in Rotated Sorted Array,"['Array', 'Binary Search']",38.9%,Medium,76.5138%;
34,34. Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",41.8%,Medium,73.1087%;
35,35. Search Insert Position,"['Array', 'Binary Search']",43.3%,Easy,70.2912%;
36,36. Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",58.0%,Medium,79.2091%;
37,37. Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', '1+']",57.5%,Hard,69.7398%;
38,38. Count and Say,['String'],52.0%,Medium,80.7716%;
39,39. Combination Sum,"['Array', 'Backtracking']",68.5%,Medium,72.7559%;
40,40. Combination Sum II,"['Array', 'Backtracking']",53.4%,Medium,58.9267%;
41,41. First Missing Positive,"['Array', 'Hash Table']",36.7%,Hard,84.7355%;
42,42. Trapping Rain Water,"['Array', 'Two Pointers', '3+']",59.2%,Hard,96.7722%;
43,43. Multiply Strings,"['Math', 'String', 'Simulation']",39.1%,Medium,58.2984%;
44,44. Wildcard Matching,"['String', 'Dynamic Programming', 'Greedy', '1+']",26.9%,Hard,64.6551%;
45,45. Jump Game II,"['Array', 'Dynamic Programming', 'Greedy']",39.8%,Medium,79.787%;
46,46. Permutations,"['Array', 'Backtracking']",75.6%,Medium,69.4127%;
47,47. Permutations II,"['Array', 'Backtracking']",57.3%,Medium,50.2326%;
48,48. Rotate Image,"['Array', 'Math', 'Matrix']",70.9%,Medium,81.5598%;
49,49. Group Anagrams,"['Array', 'Hash Table', 'String', '1+']",66.7%,Medium,87.5031%;
50,"50. Pow(x, n)","['Math', 'Recursion']",33.0%,Medium,75.6105%;
51,51. N-Queens,"['Array', 'Backtracking']",64.0%,Hard,75.9755%;
52,52. N-Queens II,['Backtracking'],71.5%,Hard,30.026%;
53,53. Maximum Subarray,"['Array', 'Divide and Conquer', '1+']",50.2%,Medium,92.0306%;
54,54. Spiral Matrix,"['Array', 'Matrix', 'Simulation']",44.8%,Medium,86.8734%;
55,55. Jump Game,"['Array', 'Dynamic Programming', 'Greedy']",38.9%,Medium,80.3319%;
56,56. Merge Intervals,"['Array', 'Sorting']",46.2%,Medium,93.1697%;
57,57. Insert Interval,['Array'],39.0%,Medium,73.888%;
58,58. Length of Last Word,['String'],42.6%,Easy,53.9589%;
59,59. Spiral Matrix II,"['Array', 'Matrix', 'Simulation']",67.3%,Medium,48.5548%;
60,60. Permutation Sequence,"['Math', 'Recursion']",44.3%,Hard,57.871%;
61,61. Rotate List,"['Linked List', 'Two Pointers']",36.0%,Medium,53.5028%;
62,62. Unique Paths,"['Math', 'Dynamic Programming', '1+']",62.6%,Medium,66.3595%;
63,63. Unique Paths II,"['Array', 'Dynamic Programming', 'Matrix']",39.4%,Medium,53.1656%;
64,64. Minimum Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",61.1%,Medium,62.4025%;
65,65. Valid Number,['String'],18.7%,Hard,46.5127%;
66,66. Plus One,"['Array', 'Math']",43.6%,Easy,64.6321%;
67,67. Add Binary,"['Math', 'String', 'Bit Manipulation', '1+']",52.4%,Easy,78.4544%;
68,68. Text Justification,"['Array', 'String', 'Simulation']",37.4%,Hard,83.0981%;
69,69. Sqrt(x),"['Math', 'Binary Search']",37.4%,Easy,74.0598%;
70,70. Climbing Stairs,"['Math', 'Dynamic Programming', '1+']",52.2%,Easy,88.5835%;
71,71. Simplify Path,"['String', 'Stack']",39.3%,Medium,69.3539%;
72,72. Edit Distance,"['String', 'Dynamic Programming']",54.3%,Hard,73.854%;
73,73. Set Matrix Zeroes,"['Array', 'Hash Table', 'Matrix']",51.1%,Medium,71.5449%;
74,74. Search a 2D Matrix,"['Array', 'Binary Search', 'Matrix']",47.6%,Medium,64.9027%;
75,75. Sort Colors,"['Array', 'Two Pointers', 'Sorting']",58.4%,Medium,67.1699%;
76,76. Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",40.9%,Hard,72.7877%;
77,77. Combinations,['Backtracking'],66.9%,Medium,45.8454%;
78,78. Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",74.8%,Medium,67.7906%;
79,79. Word Search,"['Array', 'Backtracking', 'Matrix']",40.2%,Medium,76.8252%;
80,80. Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",52.2%,Medium,40.516%;
81,81. Search in Rotated Sorted Array II,"['Array', 'Binary Search']",35.7%,Medium,45.111%;
82,82. Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",45.9%,Medium,52.4054%;
83,83. Remove Duplicates from Sorted List,['Linked List'],50.5%,Easy,51.51%;
84,84. Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",42.5%,Hard,71.6497%;
85,85. Maximal Rectangle,"['Array', 'Dynamic Programming', '3+']",44.7%,Hard,58.073%;
86,86. Partition List,"['Linked List', 'Two Pointers']",51.9%,Medium,31.0967%;
87,87. Scramble String,"['String', 'Dynamic Programming']",36.1%,Hard,33.7244%;
88,88. Merge Sorted Array,"['Array', 'Two Pointers', 'Sorting']",46.5%,Easy,72.4095%;
89,89. Gray Code,"['Math', 'Backtracking', 'Bit Manipulation']",57.1%,Medium,35.4546%;
90,90. Subsets II,"['Array', 'Backtracking', 'Bit Manipulation']",55.8%,Medium,51.1459%;
91,91. Decode Ways,"['String', 'Dynamic Programming']",32.7%,Medium,81.1822%;
92,92. Reverse Linked List II,['Linked List'],45.4%,Medium,56.0003%;
93,93. Restore IP Addresses,"['String', 'Backtracking']",47.3%,Medium,80.3631%;
94,94. Binary Tree Inorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",73.7%,Easy,53.7321%;
95,95. Unique Binary Search Trees II,"['Dynamic Programming', '4+']",52.3%,Medium,51.7688%;
96,96. Unique Binary Search Trees,"['Math', 'Dynamic Programming', '3+']",59.6%,Medium,61.8852%;
97,97. Interleaving String,"['String', 'Dynamic Programming']",37.3%,Medium,52.2798%;
98,98. Validate Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",32.0%,Medium,65.9474%;
99,99. Recover Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",50.9%,Medium,51.3883%;
100,100. Same Tree,"['Tree', 'Depth-First Search', '2+']",58.0%,Easy,52.0478%;
101,101. Symmetric Tree,"['Tree', 'Depth-First Search', '2+']",54.2%,Easy,13.0114%;
102,102. Binary Tree Level Order Traversal,"['Tree', 'Breadth-First Search', '1+']",64.2%,Medium,53.1872%;
103,103. Binary Tree Zigzag Level Order Traversal,"['Tree', 'Breadth-First Search', '1+']",56.8%,Medium,65.1536%;
104,104. Maximum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",73.8%,Easy,59.7834%;
105,105. Construct Binary Tree from Preorder and Inorder Traversal,"['Array', 'Hash Table', '3+']",61.4%,Medium,58.3701%;
106,106. Construct Binary Tree from Inorder and Postorder Traversal,"['Array', 'Hash Table', '3+']",58.1%,Medium,30.2678%;
107,107. Binary Tree Level Order Traversal II,"['Tree', 'Breadth-First Search', '1+']",61.0%,Medium,13.418%;
108,108. Convert Sorted Array to Binary Search Tree,"['Array', 'Divide and Conquer', 'Tree', '2+']",69.7%,Easy,45.0224%;
109,109. Convert Sorted List to Binary Search Tree,"['Linked List', 'Divide and Conquer', '3+']",60.1%,Medium,25.9809%;
110,110. Balanced Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",48.9%,Easy,52.7168%;
